,Feedback,Sentiments_svm
116,one of the worst orders. same gravi use for both the carrier and tast is much below averag,Not Happy
117,the curri and daal in thali wa veri veri less,Not Happy
118,the order wa complet differ,Not Happy
119,i order earlier from the same place the qualiti and quantiti wa much better. qualiti and quantiti is complet dip,Not Happy
120,it wa tawa paratha instead of plain chapathis. we don't like parathas.,Not Happy
121,awesom complet meal.. great job,Not Happy
122,"panneer wa old stock, even sabji given cauliflow and potato tast bitter, good wa not fresh at all",Not Happy
123,"i like the tast but gravi wa veri less for the amount of white rice you provided, for the price you are charg provid atleast 2 boil egg it feel good",Not Happy
124,super speed and kind,Not Happy
125,thi is the second time i order from thi restaur and it seem like they give you the item they want and not what you order. not done.,Not Happy
126,the worst tast ever..they give the food which is like jail food.ric is so hard. chapathi are hard.sabji tast can explain. pleas nobodi order thi food. wast of money.. indira canteen food is more better and tasti,Not Happy
127,"food littl oili there & have 2 improv packing... overal food tast good, quantiti ok for one...",Not Happy
128,worst food,Not Happy
129,the quantiti of food wa veri veri less. children at my home eat more than that.,Not Happy
130,in sweet there wa jamun which wa size of a pea that' ridiculous...pan wa not fresh and not good in tast total wast of money. the price is so high and the qualiti of food is worst,Not Happy
131,"i order tadka daal, it ha so much water in it. i wa hungri for food, not dehydrated.",Not Happy
132,absolut horribl food,Not Happy
133,worst ever paneer masala.,Not Happy
134,it wa tasteless food,Not Happy
135,"the sweet wa spoilt, veri veri spici bhaji",Not Happy
136,pack in paper cover and charg for steel box as pack charges. not worth it.,Not Happy
137,place is overr and overpriced..,Not Happy
138,over hipe,Not Happy
139,"my order wa cancel becaus the food packet were not parcel properly. after return them, i reordered. but my first order money not refund",Not Happy
140,spici and tasty....??,Not Happy
141,parata wer made of maida.. with spici green chillis. so call best sell chapati also not that good. quantiti of dal wa less. not gonna order next time. thank you,Not Happy
142,"no sweet delivered, paratha wa maida tandoori, look like homemad whole wheat in photo",Not Happy
143,not given adequ quantiti of dish as said it will provide.,Not Happy
144,wrong item deluv,Not Happy
